rank,spanish,english
2,el,the
3,que,which/ that
4,de,from/ of
5,en,on/ in
6,y,and
10,se,reflexive marker
11,un,an/ a
14,hacer,make/ to do
16,haber,to have
17,tener,to have
18,me,me obj
19,otro,another/ other
20,por,for/ by/ through
21,con,with
24,para,to/ for/ in order to
25,yo,I subj
26,como,as/ like
28,poder,can/ to be able to
29,dar,to give
30,le,3rd person indir obj
32,pero,yet/ but/ except
33,que,which?/ what?/ how !
35,entre,among/ between
36,pasar,spend time / to pass
38,uno,one
44,si,yes
47,sobre,over/ on top of/ about
48,o,or
50,hombre,mankind/ man/ husband
51,grande,great/ large/ big
52,ir,to go
54,muy,really/ very
55,forma,shape/ form/ way
56,cada,every/ each
58,tres,three
60,dos,two
62,menos,fewer/ less
64,vez,time specific occurrence
65,asi,like that
67,ver,to see
68,cierto,true/ sure/ certain
69,mundo,world
70,poner,get / to put on
71,sin,without
76,el,ellos them m / he
77,casi,nearly/ almost
81,hablar,talk/ to speak
82,mujer,wife/ woman
84,hora,time specific / hour
85,ahora,now
87,saber,find out/ to know a fact
95,pequeno,young/ small/ little
96,te,you obj formal
97,ano,year
99,parte,portion/ part
100,vida,life
